property_id,source_url,discovered_on_page,price_matches_discovery,title,address,description,price,price_listed,area,area_unit,area_marla,area_source,bedrooms,bathrooms,locality,latitude,longitude,latitude_clean,longitude_clean,coord_in_lahore,coord_source,loc_society,loc_phase,loc_phase_num,loc_sector,loc_block,loc_sub,loc_path,views,image_count,is_featured,has_video,created_at,clean_flags,exclusion_reason,excluded,fp_group_id,n_listings,fp_price_median,fp_price_spread,collapsed
9000060,https://example.invalid/synthetic/9000060,2,True,"19.8 Marla House for Sale in Tufail Road, Lahore","Tufail Road, Lahore, Punjab, Pakistan",,106400000.0,106400000.0,19.8,marla,19.8,payload,6,6,Tufail Road,31.708979,74.505472,31.708979,74.505472,True,source,Tufail Road,,,,,,Tufail Road,31,15,False,False,2024-05-08 02:55:06+00:00,synthetic,,False,60,1,106400000.0,0.0,False
9000061,https://example.invalid/synthetic/9000061,2,True,"1 Kanal House for Sale in Block L, Phase 6, DHA, Lahore","Block L, Phase 6, DHA, Lahore, Punjab, Pakistan",,85200000.0,85200000.0,20.0,marla,20.0,payload,5,6,DHA,31.30132,74.613329,31.30132,74.613329,True,source,DHA,Phase 6,6,,Block L,,DHA > Phase 6 > Block L,31,16,False,False,2024-01-30 22:16:01+00:00,synthetic,,False,61,1,85200000.0,0.0,False
9000062,https://example.invalid/synthetic/9000062,2,True,"1.6 Marla House for Sale in Tajpura, Lahore","Tajpura, Lahore, Punjab, Pakistan",,6100000.0,6100000.0,1.6,marla,1.6,payload,2,3,Tajpura,31.50388,74.712009,31.50388,74.712009,True,source,Tajpura,,,,,,Tajpura,42,5,False,False,2024-02-26 12:37:42+00:00,synthetic,,False,62,1,6100000.0,0.0,False
9000063,https://example.invalid/synthetic/9000063,2,True,"4.5 Marla House for Sale in Block A1, Central Park Housing Scheme, Lahore","Block A1, Central Park Housing Scheme, Lahore, Punjab, Pakistan",,13600000.0,13600000.0,4.5,marla,4.5,payload,3,4,Central Park Housing Scheme,31.581341,74.498059,31.581341,74.498059,True,source,Central Park Housing Scheme,,,,Block A1,,Central Park Housing Scheme > Block A1,32,19,False,False,2024-01-22 04:53:39+00:00,synthetic,,False,63,1,13600000.0,0.0,False
9000064,https://example.invalid/synthetic/9000064,2,True,"2.9 Marla House for Sale in Phase 2, Al Hafeez Garden, Lahore","Phase 2, Al Hafeez Garden, Lahore, Punjab, Pakistan",,10100000.0,10100000.0,2.9,marla,2.9,payload,3,3,Al Hafeez Garden,31.711365,74.647903,31.711365,74.647903,True,source,Al Hafeez Garden,Phase 2,2,,,,Al Hafeez Garden > Phase 2,3,7,False,False,2024-03-25 15:19:52+00:00,synthetic,,False,64,1,10100000.0,0.0,False
9000065,https://example.invalid/synthetic/9000065,2,True,"9.2 Marla House for Sale in Bismillah Housing Scheme, Lahore","Bismillah Housing Scheme, Lahore, Punjab, Pakistan",,32500000.0,32500000.0,9.2,marla,9.2,payload,5,6,Bismillah Housing Scheme,31.731112,74.348845,31.731112,74.348845,True,source,Bismillah Housing Scheme,,,,,,Bismillah Housing Scheme,50,16,False,False,2023-11-06 09:17:16+00:00,synthetic,,False,65,1,32500000.0,0.0,False
9000066,https://example.invalid/synthetic/9000066,2,True,"6.3 Marla House for Sale in Eden Canal Villas, Lahore","Eden Canal Villas, Lahore, Punjab, Pakistan",,28200000.0,28200000.0,6.3,marla,6.3,payload,3,2,Eden Canal Villas,31.189821,74.200275,31.189821,74.200275,True,source,Eden Canal Villas,,,,,,Eden Canal Villas,59,24,False,False,2023-09-23 05:37:10+00:00,synthetic,,False,66,1,28200000.0,0.0,False
9000067,https://example.invalid/synthetic/9000067,2,True,"5.4 Marla House for Sale in Block C, Phase 2, Bahria Orchard, Lahore","Block C, Phase 2, Bahria Orchard, Lahore, Punjab, Pakistan",,15600000.0,15600000.0,5.4,marla,5.4,payload,3,3,Bahria Orchard,31.436106,74.395124,31.436106,74.395124,True,source,Bahria Orchard,Phase 2,2,,Block C,,Bahria Orchard > Phase 2 > Block C,12,27,False,False,2024-02-09 01:12:10+00:00,synthetic,,False,67,1,15600000.0,0.0,False
9000068,https://example.invalid/synthetic/9000068,2,True,"4.9 Marla House for Sale in Sue-e-Asal Road, Lahore","Sue-e-Asal Road, Lahore, Punjab, Pakistan",,5500000.0,5500000.0,4.9,marla,4.9,payload,2,2,Sue-e-Asal Road,31.480982,74.611532,31.480982,74.611532,True,source,Sue-e-Asal Road,,,,,,Sue-e-Asal Road,59,14,False,False,2024-08-20 11:57:24+00:00,synthetic,,False,68,1,5500000.0,0.0,False
9000069,https://example.invalid/synthetic/9000069,2,True,"4.9 Marla House for Sale in Cavalry Ground Extension, Lahore","Cavalry Ground Extension, Lahore, Punjab, Pakistan",,23700000.0,23700000.0,4.9,marla,4.9,payload,3,4,Cavalry Ground Extension,31.279183,74.278453,31.279183,74.278453,True,source,Cavalry Ground Extension,,,,,,Cavalry Ground Extension,14,19,False,False,2024-04-08 03:35:24+00:00,synthetic,,False,69,1,23700000.0,0.0,False
9000070,https://example.invalid/synthetic/9000070,2,True,"5.2 Marla House for Sale in Park View Villas, Lahore","Park View Villas, Lahore, Punjab, Pakistan",,19000000.0,19000000.0,5.2,marla,5.2,payload,4,4,Park View Villas,31.753956,74.09593,31.753956,74.09593,True,source,Park View Villas,,,,,,Park View Villas,17,16,False,False,2023-10-05 02:20:42+00:00,synthetic,,False,70,1,19000000.0,0.0,False
9000071,https://example.invalid/synthetic/9000071,2,True,"19.5 Marla House for Sale in Block E, Phase 2, PGECHS, Lahore","Block E, Phase 2, PGECHS, Lahore, Punjab, Pakistan",,72400000.0,72400000.0,19.5,marla,19.5,payload,7,6,PGECHS,31.664516,74.631428,31.664516,74.631428,True,source,PGECHS,Phase 2,2,,Block E,,PGECHS > Phase 2 > Block E,52,10,False,False,2024-07-01 02:56:55+00:00,synthetic,,False,71,1,72400000.0,0.0,False
9000072,https://example.invalid/synthetic/9000072,2,True,"7.6 Marla House for Sale in Grove Block, Paragon City, Lahore","Grove Block, Paragon City, Lahore, Punjab, Pakistan",,17900000.0,17900000.0,7.6,marla,7.6,payload,4,5,Paragon City,31.48545,74.579576,31.48545,74.579576,True,source,Paragon City,,,,Grove Block,,Paragon City > Grove Block,19,15,False,False,2023-11-01 16:11:54+00:00,synthetic,,False,72,1,17900000.0,0.0,False
9000073,https://example.invalid/synthetic/9000073,2,True,"11 Marla House for Sale in Gulshan-e-Lahore, Lahore","Gulshan-e-Lahore, Lahore, Punjab, Pakistan",,28100000.0,28100000.0,11.0,marla,11.0,payload,5,6,Gulshan-e-Lahore,31.651435,74.368609,31.651435,74.368609,True,source,Gulshan-e-Lahore,,,,,,Gulshan-e-Lahore,40,25,False,False,2023-11-12 21:06:31+00:00,synthetic,,False,73,1,28100000.0,0.0,False
9000074,https://example.invalid/synthetic/9000074,2,True,"4.2 Marla House for Sale in Phase 2, Al Rehman Garden, Lahore","Phase 2, Al Rehman Garden, Lahore, Punjab, Pakistan",,14000000.0,14000000.0,4.2,marla,4.2,payload,3,4,Al Rehman Garden,31.718446,74.403656,31.718446,74.403656,True,source,Al Rehman Garden,Phase 2,2,,,,Al Rehman Garden > Phase 2,13,21,False,False,2024-01-30 01:47:18+00:00,synthetic,,False,74,1,14000000.0,0.0,False
9000075,https://example.invalid/synthetic/9000075,2,True,"2.8 Marla House for Sale in Lahore Medical Housing Society, Lahore","Lahore Medical Housing Society, Lahore, Punjab, Pakistan",,9600000.0,9600000.0,2.8,marla,2.8,payload,3,3,Lahore Medical Housing Society,31.692921,74.154104,31.692921,74.154104,True,source,Lahore Medical Housing Society,,,,,,Lahore Medical Housing Society,59,15,False,False,2024-02-17 21:26:45+00:00,synthetic,,False,75,1,9600000.0,0.0,False
9000076,https://example.invalid/synthetic/9000076,2,True,"4 Marla House for Sale in Al-Hamd Park, Lahore","Al-Hamd Park, Lahore, Punjab, Pakistan",,14800000.0,14800000.0,4.0,marla,4.0,payload,4,4,Al-Hamd Park,31.180114,74.427118,31.180114,74.427118,True,source,Al-Hamd Park,,,,,,Al-Hamd Park,27,28,False,False,2024-04-21 07:44:12+00:00,synthetic,,False,76,1,14800000.0,0.0,False
9000077,https://example.invalid/synthetic/9000077,2,True,"4.2 Marla House for Sale in Canal Valley, Lahore","Canal Valley, Lahore, Punjab, Pakistan",,16900000.0,16900000.0,4.2,marla,4.2,payload,4,4,Canal Valley,31.331596,74.509417,31.331596,74.509417,True,source,Canal Valley,,,,,,Canal Valley,13,17,False,False,2024-02-16 01:43:53+00:00,synthetic,,False,77,1,16900000.0,0.0,False
9000078,https://example.invalid/synthetic/9000078,2,True,"19.1 Marla House for Sale in Block F, Phase 1, Johar Town, Lahore","Block F, Phase 1, Johar Town, Lahore, Punjab, Pakistan",,82400000.0,82400000.0,19.1,marla,19.1,payload,5,6,Johar Town,31.499899,74.447953,31.499899,74.447953,True,source,Johar Town,Phase 1,1,,Block F,,Johar Town > Phase 1 > Block F,10,8,False,False,2024-02-11 04:51:25+00:00,synthetic,,False,78,1,82400000.0,0.0,False
9000079,https://example.invalid/synthetic/9000079,2,True,"41.1 Marla House for Sale in Township, Lahore","Township, Lahore, Punjab, Pakistan",,107800000.0,107800000.0,41.1,marla,41.1,payload,4,4,Township,31.193414,74.699931,31.193414,74.699931,True,source,Township,,,,,,Township,58,16,False,False,2023-11-09 09:00:00+00:00,synthetic,,False,79,1,107800000.0,0.0,False
9000080,https://example.invalid/synthetic/9000080,2,True,"10.6 Marla House for Sale in Bahria Town, Lahore","Bahria Town, Lahore, Punjab, Pakistan",,55200000.0,55200000.0,10.6,marla,10.6,payload,5,6,Bahria Town,31.518758,74.227053,31.518758,74.227053,True,source,Bahria Town,,,,,,Bahria Town,40,12,False,False,2024-04-27 15:35:50+00:00,synthetic,,False,80,1,55200000.0,0.0,False
9000081,https://example.invalid/synthetic/9000081,2,True,"9.8 Marla House for Sale in Gulshan-e-Lahore, Lahore","Gulshan-e-Lahore, Lahore, Punjab, Pakistan",,32700000.0,32700000.0,9.8,marla,9.8,payload,5,6,Gulshan-e-Lahore,31.562621,74.329639,31.562621,74.329639,True,source,Gulshan-e-Lahore,,,,,,Gulshan-e-Lahore,45,2,False,False,2024-06-19 07:47:28+00:00,synthetic,,False,81,1,32700000.0,0.0,False
9000082,https://example.invalid/synthetic/9000082,2,True,"3.3 Marla House for Sale in Sabzazar Scheme, Lahore","Sabzazar Scheme, Lahore, Punjab, Pakistan",,17500000.0,17500000.0,3.3,marla,3.3,payload,3,3,Sabzazar Scheme,31.719467,74.458669,31.719467,74.458669,True,source,Sabzazar Scheme,,,,,,Sabzazar Scheme,48,23,False,False,2024-09-14 06:58:24+00:00,synthetic,,False,82,1,17500000.0,0.0,False
9000083,https://example.invalid/synthetic/9000083,2,True,"4.9 Marla House for Sale in Lahore Medical Housing Society, Lahore","Lahore Medical Housing Society, Lahore, Punjab, Pakistan",,19900000.0,19900000.0,4.9,marla,4.9,payload,3,4,Lahore Medical Housing Society,31.471706,74.331546,31.471706,74.331546,True,source,Lahore Medical Housing Society,,,,,,Lahore Medical Housing Society,17,22,False,False,2024-06-01 07:12:18+00:00,synthetic,,False,83,1,19900000.0,0.0,False
9000084,https://example.invalid/synthetic/9000084,2,True,"2.5 Marla House for Sale in College Road, Lahore","College Road, Lahore, Punjab, Pakistan",,7100000.0,7100000.0,2.5,marla,2.5,payload,3,4,College Road,31.766847,74.616323,31.766847,74.616323,True,source,College Road,,,,,,College Road,4,11,False,False,2024-06-24 10:39:13+00:00,synthetic,,False,84,1,7100000.0,0.0,False
9000085,https://example.invalid/synthetic/9000085,2,True,"18 Marla House for Sale in Block V, Phase 7, DHA, Lahore","Block V, Phase 7, DHA, Lahore, Punjab, Pakistan",,90700000.0,90700000.0,18.0,marla,18.0,payload,5,6,DHA,31.385499,74.32718,31.385499,74.32718,True,source,DHA,Phase 7,7,,Block V,,DHA > Phase 7 > Block V,11,9,False,False,2024-08-31 00:32:05+00:00,synthetic,,False,85,1,90700000.0,0.0,False
9000086,https://example.invalid/synthetic/9000086,2,True,"5.3 Marla House for Sale in Executive Block, Park View Villas, Lahore","Executive Block, Park View Villas, Lahore, Punjab, Pakistan",,15200000.0,15200000.0,5.3,marla,5.3,payload,4,4,Park View Villas,31.181248,74.069336,31.181248,74.069336,True,source,Park View Villas,,,,Executive Block,,Park View Villas > Executive Block,50,2,False,False,2023-09-22 22:36:33+00:00,synthetic,,False,86,1,15200000.0,0.0,False
9000087,https://example.invalid/synthetic/9000087,2,True,"3.7 Marla House for Sale in Phase 2, Al Hafeez Garden, Lahore","Phase 2, Al Hafeez Garden, Lahore, Punjab, Pakistan",,9600000.0,9600000.0,3.7,marla,3.7,payload,4,3,Al Hafeez Garden,31.183592,74.137781,31.183592,74.137781,True,source,Al Hafeez Garden,Phase 2,2,,,,Al Hafeez Garden > Phase 2,24,21,False,False,2024-05-22 11:53:42+00:00,synthetic,,False,87,1,9600000.0,0.0,False
9000088,https://example.invalid/synthetic/9000088,2,True,"5 Marla House for Sale in Johar Town, Lahore","Johar Town, Lahore, Punjab, Pakistan",,20600000.0,20600000.0,5.0,marla,5.0,payload,4,4,Johar Town,31.601555,74.141968,31.601555,74.141968,True,source,Johar Town,,,,,,Johar Town,51,13,False,False,2024-03-27 08:31:02+00:00,synthetic,,False,88,1,20600000.0,0.0,False
9000089,https://example.invalid/synthetic/9000089,2,True,"3.8 Marla House for Sale in Izmir Town, Lahore","Izmir Town, Lahore, Punjab, Pakistan",,16900000.0,16900000.0,3.8,marla,3.8,payload,3,4,Izmir Town,31.648143,74.025549,31.648143,74.025549,True,source,Izmir Town,,,,,,Izmir Town,42,16,False,False,2024-01-12 05:53:33+00:00,synthetic,,False,89,1,16900000.0,0.0,False
9000090,https://example.invalid/synthetic/9000090,2,True,"3.7 Marla House for Sale in Gulshan-e-Lahore, Lahore","Gulshan-e-Lahore, Lahore, Punjab, Pakistan",,14600000.0,14600000.0,3.7,marla,3.7,payload,4,4,Gulshan-e-Lahore,31.212989,74.37587,31.212989,74.37587,True,source,Gulshan-e-Lahore,,,,,,Gulshan-e-Lahore,22,14,False,False,2024-07-07 10:49:20+00:00,synthetic,,False,90,1,14600000.0,0.0,False
9000091,https://example.invalid/synthetic/9000091,2,True,"3.1 Marla House for Sale in Elite Town, Lahore","Elite Town, Lahore, Punjab, Pakistan",,7900000.0,7900000.0,3.1,marla,3.1,payload,2,2,Elite Town,31.683121,74.645738,31.683121,74.645738,True,source,Elite Town,,,,,,Elite Town,16,5,False,False,2024-06-16 20:15:51+00:00,synthetic,,False,91,1,7900000.0,0.0,False
9000092,https://example.invalid/synthetic/9000092,2,True,"19.2 Marla House for Sale in Phase 2, Johar Town, Lahore","Phase 2, Johar Town, Lahore, Punjab, Pakistan",,81700000.0,81700000.0,19.2,marla,19.2,payload,5,6,Johar Town,31.660513,74.196151,31.660513,74.196151,True,source,Johar Town,Phase 2,2,,,,Johar Town > Phase 2,31,2,False,False,2024-09-13 02:31:05+00:00,synthetic,,False,92,1,81700000.0,0.0,False
9000093,https://example.invalid/synthetic/9000093,2,True,"4.6 Marla House for Sale in Bahria Town, Lahore","Bahria Town, Lahore, Punjab, Pakistan",,16100000.0,16100000.0,4.6,marla,4.6,payload,3,5,Bahria Town,31.407663,74.420022,31.407663,74.420022,True,source,Bahria Town,,,Sector D,,,Bahria Town,56,20,False,False,2024-07-31 14:13:52+00:00,synthetic,,False,93,1,16100000.0,0.0,False
9000094,https://example.invalid/synthetic/9000094,2,True,"20.3 Marla House for Sale in Block A, Faisal Town, Lahore","Block A, Faisal Town, Lahore, Punjab, Pakistan",,91100000.0,91100000.0,20.3,marla,20.3,payload,4,5,Faisal Town,31.502389,73.953596,31.502389,73.953596,True,source,Faisal Town,,,,Block A,,Faisal Town > Block A,31,6,False,False,2023-09-10 11:39:35+00:00,synthetic,,False,94,1,91100000.0,0.0,False
9000095,https://example.invalid/synthetic/9000095,2,True,"4.7 Marla House for Sale in Phase 9 - Town, DHA, Lahore","Phase 9 - Town, DHA, Lahore, Punjab, Pakistan",,22400000.0,22400000.0,4.7,marla,4.7,payload,3,4,DHA,31.186063,74.386754,31.186063,74.386754,True,source,DHA,Phase 9 - Town,9,,,,DHA > Phase 9 - Town,24,26,False,False,2024-01-05 01:57:45+00:00,synthetic,,False,95,1,22400000.0,0.0,False
9000096,https://example.invalid/synthetic/9000096,2,True,"19.7 Marla House for Sale in Phase 3, DHA, Lahore","Phase 3, DHA, Lahore, Punjab, Pakistan",,69900000.0,69900000.0,19.7,marla,19.7,payload,5,6,DHA,31.231499,74.692133,31.231499,74.692133,True,source,DHA,Phase 3,3,,,,DHA > Phase 3,17,2,False,False,2024-06-29 05:46:10+00:00,synthetic,,False,96,1,69900000.0,0.0,False
9000097,https://example.invalid/synthetic/9000097,2,True,"5 Marla House for Sale in Block A, Palm City, Lahore","Block A, Palm City, Lahore, Punjab, Pakistan",,20000000.0,20000000.0,5.0,marla,5.0,payload,3,4,Palm City,31.623692,74.367304,31.623692,74.367304,True,source,Palm City,,,,Block A,,Palm City > Block A,53,12,False,False,2024-02-25 10:04:00+00:00,synthetic,,False,97,1,20000000.0,0.0,False
9000098,https://example.invalid/synthetic/9000098,2,True,"3 Marla House for Sale in Lahore Cantt, Lahore","Lahore Cantt, Lahore, Punjab, Pakistan",,9900000.0,9900000.0,3.0,marla,3.0,payload,7,3,Lahore Cantt,31.467839,74.157943,31.467839,74.157943,True,source,Lahore Cantt,,,,,,Lahore Cantt,13,10,False,False,2024-07-21 11:40:48+00:00,synthetic,,False,98,1,9900000.0,0.0,False
9000099,https://example.invalid/synthetic/9000099,2,True,"9.7 Marla House for Sale in Talha Block, Bahria Town, Lahore","Talha Block, Bahria Town, Lahore, Punjab, Pakistan",,23700000.0,23700000.0,9.7,marla,9.7,payload,5,6,Bahria Town,31.786035,74.063294,31.786035,74.063294,True,source,Bahria Town,,,Sector E,Talha Block,,Bahria Town > Talha Block,41,25,False,False,2024-09-13 20:18:18+00:00,synthetic,,False,99,1,23700000.0,0.0,False
9000100,https://example.invalid/synthetic/9000100,3,True,"7.9 Marla House for Sale in Gulberg, Lahore","Gulberg, Lahore, Punjab, Pakistan",,44900000.0,44900000.0,7.9,marla,7.9,payload,5,6,Gulberg,31.260792,74.563114,31.260792,74.563114,True,source,Gulberg,,,,,,Gulberg,58,28,False,False,2023-12-04 03:17:31+00:00,synthetic,,False,100,1,44900000.0,0.0,False
9000101,https://example.invalid/synthetic/9000101,3,True,"4.7 Marla House for Sale in Canal Valley, Lahore","Canal Valley, Lahore, Punjab, Pakistan",,17600000.0,17600000.0,4.7,marla,4.7,payload,3,3,Canal Valley,31.348532,74.118399,31.348532,74.118399,True,source,Canal Valley,,,,,,Canal Valley,2,0,False,False,2024-03-22 04:47:28+00:00,synthetic,,False,101,1,17600000.0,0.0,False
9000102,https://example.invalid/synthetic/9000102,3,True,"21.8 Marla House for Sale in Block X, Phase 7, DHA, Lahore","Block X, Phase 7, DHA, Lahore, Punjab, Pakistan",,100300000.0,100300000.0,21.8,marla,21.8,payload,5,6,DHA,31.553276,74.367475,31.553276,74.367475,True,source,DHA,Phase 7,7,,Block X,,DHA > Phase 7 > Block X,53,14,False,False,2024-03-22 02:23:51+00:00,synthetic,,False,102,1,100300000.0,0.0,False
9000103,https://example.invalid/synthetic/9000103,3,True,"3.1 Marla House for Sale in Allama Iqbal Town, Lahore","Allama Iqbal Town, Lahore, Punjab, Pakistan",,18500000.0,18500000.0,3.1,marla,3.1,payload,3,3,Allama Iqbal Town,31.629513,74.271142,31.629513,74.271142,True,source,Allama Iqbal Town,,,,,,Allama Iqbal Town,31,13,False,False,2024-01-12 19:01:13+00:00,synthetic,,False,103,1,18500000.0,0.0,False
9000104,https://example.invalid/synthetic/9000104,3,True,"8.2 Marla House for Sale in Canal Bank Housing Scheme, Lahore","Canal Bank Housing Scheme, Lahore, Punjab, Pakistan",,27900000.0,27900000.0,8.2,marla,8.2,payload,6,6,Canal Bank Housing Scheme,31.279343,74.15736,31.279343,74.15736,True,source,Canal Bank Housing Scheme,,,,,,Canal Bank Housing Scheme,23,10,False,False,2024-07-26 09:32:42+00:00,synthetic,,False,104,1,27900000.0,0.0,False
9000105,https://example.invalid/synthetic/9000105,3,True,"5.2 Marla House for Sale in Allama Iqbal Town, Lahore","Allama Iqbal Town, Lahore, Punjab, Pakistan",,18300000.0,18300000.0,5.2,marla,5.2,payload,3,4,Allama Iqbal Town,31.385592,74.235294,31.385592,74.235294,True,source,Allama Iqbal Town,,,,,,Allama Iqbal Town,12,22,False,False,2023-09-21 18:45:53+00:00,synthetic,,False,105,1,18300000.0,0.0,False
9000106,https://example.invalid/synthetic/9000106,3,True,"10 Marla House for Sale in Block B, Eden City, Lahore","Block B, Eden City, Lahore, Punjab, Pakistan",,30600000.0,30600000.0,10.0,marla,10.0,payload,5,6,Eden City,31.65562,74.334461,31.65562,74.334461,True,source,Eden City,,,,Block B,,Eden City > Block B,32,11,False,False,2024-08-20 02:01:31+00:00,synthetic,,False,106,1,30600000.0,0.0,False
9000107,https://example.invalid/synthetic/9000107,3,True,"9.5 Marla House for Sale in Jasmine Block, Bahria Town, Lahore","Jasmine Block, Bahria Town, Lahore, Punjab, Pakistan",,28700000.0,28700000.0,9.5,marla,9.5,payload,5,6,Bahria Town,31.670852,74.618145,31.670852,74.618145,True,source,Bahria Town,,,Sector C,Jasmine Block,,Bahria Town > Jasmine Block,50,27,False,False,2024-04-13 09:44:30+00:00,synthetic,,False,107,1,28700000.0,0.0,False
9000108,https://example.invalid/synthetic/9000108,3,True,"4.9 Marla House for Sale in Eden Boulevard, Lahore","Eden Boulevard, Lahore, Punjab, Pakistan",,16300000.0,16300000.0,4.9,marla,4.9,payload,5,6,Eden Boulevard,31.436518,74.477853,31.436518,74.477853,True,source,Eden Boulevard,,,,,,Eden Boulevard,49,24,False,False,2024-06-02 00:22:56+00:00,synthetic,,False,108,1,16300000.0,0.0,False
9000109,https://example.invalid/synthetic/9000109,3,True,"2.8 Marla House for Sale in Lahore Cantt, Lahore","Lahore Cantt, Lahore, Punjab, Pakistan",,13400000.0,13400000.0,2.8,marla,2.8,payload,3,3,Lahore Cantt,31.159591,74.28452,31.159591,74.28452,True,source,Lahore Cantt,,,,,,Lahore Cantt,22,8,False,False,2024-02-23 11:19:28+00:00,synthetic,,False,109,1,13400000.0,0.0,False
9000110,https://example.invalid/synthetic/9000110,3,True,"5 Marla House for Sale in Canal Bank Housing Scheme, Lahore","Canal Bank Housing Scheme, Lahore, Punjab, Pakistan",,18900000.0,18900000.0,5.0,marla,5.0,payload,5,6,Canal Bank Housing Scheme,31.745959,74.487565,31.745959,74.487565,True,source,Canal Bank Housing Scheme,,,,,,Canal Bank Housing Scheme,52,6,False,False,2024-07-29 01:49:47+00:00,synthetic,,False,110,1,18900000.0,0.0,False
9000111,https://example.invalid/synthetic/9000111,3,True,"4.7 Marla House for Sale in Tulip Overseas Block, Park View Villas, Lahore","Tulip Overseas Block, Park View Villas, Lahore, Punjab, Pakistan",,19300000.0,19300000.0,4.7,marla,4.7,payload,4,4,Park View Villas,31.759281,74.330436,31.759281,74.330436,True,source,Park View Villas,,,,Tulip Overseas Block,,Park View Villas > Tulip Overseas Block,22,19,False,False,2023-11-18 21:14:54+00:00,synthetic,,False,111,1,19300000.0,0.0,False
9000112,https://example.invalid/synthetic/9000112,3,True,"5.4 Marla House for Sale in Tulip Overseas Block, Park View Villas, Lahore","Tulip Overseas Block, Park View Villas, Lahore, Punjab, Pakistan",,26500000.0,26500000.0,5.4,marla,5.4,payload,4,4,Park View Villas,31.436308,74.616651,31.436308,74.616651,True,source,Park View Villas,,,,Tulip Overseas Block,,Park View Villas > Tulip Overseas Block,57,10,False,False,2024-05-04 21:39:37+00:00,synthetic,,False,112,1,26500000.0,0.0,False
9000113,https://example.invalid/synthetic/9000113,3,True,"9.5 Marla House for Sale in Block G, Central Park Housing Scheme, Lahore","Block G, Central Park Housing Scheme, Lahore, Punjab, Pakistan",,33500000.0,33500000.0,9.5,marla,9.5,payload,5,6,Central Park Housing Scheme,31.726631,74.203837,31.726631,74.203837,True,source,Central Park Housing Scheme,,,,Block G,,Central Park Housing Scheme > Block G,4,4,False,False,2024-06-23 01:44:05+00:00,synthetic,,False,113,1,33500000.0,0.0,False
9000114,https://example.invalid/synthetic/9000114,3,True,"8.3 Marla House for Sale in Block J, Phase 2, Al Rehman Garden, Lahore","Block J, Phase 2, Al Rehman Garden, Lahore, Punjab, Pakistan",,25100000.0,25100000.0,8.3,marla,8.3,payload,5,6,Al Rehman Garden,31.77914,74.203757,31.77914,74.203757,True,source,Al Rehman Garden,Phase 2,2,,Block J,,Al Rehman Garden > Phase 2 > Block J,11,16,False,False,2024-02-27 20:22:42+00:00,synthetic,,False,114,1,25100000.0,0.0,False
9000115,https://example.invalid/synthetic/9000115,3,True,"8.1 Marla House for Sale in Shah Jamal, Lahore","Shah Jamal, Lahore, Punjab, Pakistan",,31700000.0,31700000.0,8.1,marla,8.1,payload,8,6,Shah Jamal,31.239864,74.207243,31.239864,74.207243,True,source,Shah Jamal,,,,,,Shah Jamal,56,28,False,False,2024-07-08 14:16:52+00:00,synthetic,,False,115,1,31700000.0,0.0,False
9000116,https://example.invalid/synthetic/9000116,3,True,"60.9 Marla House for Sale in Block D, Model Town, Lahore","Block D, Model Town, Lahore, Punjab, Pakistan",,261500000.0,261500000.0,60.9,marla,60.9,payload,6,6,Model Town,31.275593,74.059918,31.275593,74.059918,True,source,Model Town,,,,Block D,,Model Town > Block D,16,21,False,False,2024-09-07 19:11:23+00:00,synthetic,,False,116,1,261500000.0,0.0,False
9000117,https://example.invalid/synthetic/9000117,3,True,"7.9 Marla House for Sale in Bahria Town, Lahore","Bahria Town, Lahore, Punjab, Pakistan",,25900000.0,25900000.0,7.9,marla,7.9,payload,3,5,Bahria Town,31.783836,74.740454,31.783836,74.740454,True,source,Bahria Town,,,Sector B,,,Bahria Town,12,22,False,False,2024-01-24 09:38:22+00:00,synthetic,,False,117,1,25900000.0,0.0,False
9000118,https://example.invalid/synthetic/9000118,3,True,"4.1 Marla House for Sale in Palm Villas, Lahore","Palm Villas, Lahore, Punjab, Pakistan",,14400000.0,14400000.0,4.1,marla,4.1,payload,3,3,Palm Villas,31.656859,74.036885,31.656859,74.036885,True,source,Palm Villas,,,,,,Palm Villas,0,2,False,False,2023-11-02 04:19:09+00:00,synthetic,,False,118,1,14400000.0,0.0,False
9000119,https://example.invalid/synthetic/9000119,3,True,"20.3 Marla House for Sale in Bahria Town, Lahore","Bahria Town, Lahore, Punjab, Pakistan",,76300000.0,76300000.0,20.3,marla,20.3,payload,5,6,Bahria Town,31.672853,74.256112,31.672853,74.256112,True,source,Bahria Town,,,Sector B,,,Bahria Town,31,15,False,False,2024-03-22 13:18:09+00:00,synthetic,,False,119,1,76300000.0,0.0,False
9000120,https://example.invalid/synthetic/9000120,3,True,"9.2 Marla House for Sale in State Life Housing Society, Lahore","State Life Housing Society, Lahore, Punjab, Pakistan",,38600000.0,38600000.0,9.2,marla,9.2,payload,5,6,State Life Housing Society,31.600878,74.097313,31.600878,74.097313,True,source,State Life Housing Society,,,,,,State Life Housing Society,23,29,False,False,2024-04-13 18:37:01+00:00,synthetic,,False,120,1,38600000.0,0.0,False
9000121,https://example.invalid/synthetic/9000121,3,True,"10.7 Marla House for Sale in Model Town, Lahore","Model Town, Lahore, Punjab, Pakistan",,61600000.0,61600000.0,10.7,marla,10.7,payload,5,5,Model Town,31.714265,74.127521,31.714265,74.127521,True,source,Model Town,,,,,,Model Town,52,21,False,False,2023-10-14 04:52:10+00:00,synthetic,,False,121,1,61600000.0,0.0,False
